date,price,address,street,locality,settlement,postcode,postcode_district,category,property_type,new_build,tenure,district,settlement_zone,in_search_geography,residential_comparable,exclusion_reason,txn_id,url
2022-10-18,650000,"20, WOODLAND DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6YF",WOODLAND DRIVE,,WOODHALL SPA,LN10 6YF,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,EED73E75-C7C8-6AF3-E053-6C04A8C08ABA,http://landregistry.data.gov.uk/data/ppi/transaction/EED73E75-C7C8-6AF3-E053-6C04A8C08ABA/current
2022-10-31,570000,"57, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,A,Detached,yes,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,045A1898-BE97-9A24-E063-4804A8C048EA,http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-BE97-9A24-E063-4804A8C048EA/current
2022-11-04,560000,"59, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,A,Detached,yes,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,1061746E-23EC-3C34-E063-4804A8C0F9E7,http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-23EC-3C34-E063-4804A8C0F9E7/current
2022-11-18,894013,"THE HIVE, CORONATION ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6QD",CORONATION ROAD,,WOODHALL SPA,LN10 6QD,LN10,B,Other,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value; non_residential_type_O,152AB734-8181-E651-E063-4704A8C061D9,http://landregistry.data.gov.uk/data/ppi/transaction/152AB734-8181-E651-E063-4704A8C061D9/current
2022-12-19,560000,"61, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,A,Detached,yes,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,1061746E-2413-3C34-E063-4804A8C0F9E7,http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-2413-3C34-E063-4804A8C0F9E7/current
2022-12-23,675000,"THE TEA HOUSE IN THE WOODS, CORONATION ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6QD",CORONATION ROAD,,WOODHALL SPA,LN10 6QD,LN10,B,Other,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value; non_residential_type_O,F87E72F9-DFD1-176C-E053-6B04A8C0D2BE,http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F9-DFD1-176C-E053-6B04A8C0D2BE/current
2023-01-10,695000,"ASHDOWN, CROMWELL AVENUE, WOODHALL SPA, WOODHALL SPA, LN10 6TH",CROMWELL AVENUE,,WOODHALL SPA,LN10 6TH,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,F5E8B081-6EDB-3A13-E053-6C04A8C060B7,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B081-6EDB-3A13-E053-6C04A8C060B7/current
2023-01-31,650000,"63, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,A,Detached,yes,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,1061746E-242F-3C34-E063-4804A8C0F9E7,http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-242F-3C34-E063-4804A8C0F9E7/current
2023-04-13,550000,"11, TOR O MOOR ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6TF",TOR O MOOR ROAD,,WOODHALL SPA,LN10 6TF,LN10,A,Semi-detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,FD226035-F62A-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-F62A-4CB7-E053-4804A8C00430/current
2023-05-10,590000,"8, WOLDS VIEW, WOODHALL SPA, WOODHALL SPA, LN10 6UA",WOLDS VIEW,,WOODHALL SPA,LN10 6UA,LN10,A,Detached,yes,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,1A0C5C63-6BC9-7CBE-E063-4804A8C06C96,http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-6BC9-7CBE-E063-4804A8C06C96/current
2023-07-25,557750,"39, WOODLAND DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6YG",WOODLAND DRIVE,,WOODHALL SPA,LN10 6YG,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,045A1898-BBBE-9A24-E063-4804A8C048EA,http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-BBBE-9A24-E063-4804A8C048EA/current
2023-07-28,800000,"39, STIXWOULD ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6QH",STIXWOULD ROAD,,WOODHALL SPA,LN10 6QH,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,045A1898-BBB6-9A24-E063-4804A8C048EA,http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-BBB6-9A24-E063-4804A8C048EA/current
2023-08-11,880000,"3A, KIRKBY LANE, WOODHALL SPA, WOODHALL SPA, LN10 6RZ",KIRKBY LANE,,WOODHALL SPA,LN10 6RZ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,045A1898-BC74-9A24-E063-4804A8C048EA,http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-BC74-9A24-E063-4804A8C048EA/current
2023-09-14,900000,"22, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UZ",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UZ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2ACACE8C-FB3A-295E-E063-4804A8C0B0EB,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-FB3A-295E-E063-4804A8C0B0EB/current
2023-10-03,690000,"5, STANHOPE AVENUE, WOODHALL SPA, WOODHALL SPA, LN10 6SP",STANHOPE AVENUE,,WOODHALL SPA,LN10 6SP,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2859C1AC-1AB1-52B4-E063-4804A8C05948,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-1AB1-52B4-E063-4804A8C05948/current
2023-12-20,610000,"5, SPA ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6PZ",SPA ROAD,,WOODHALL SPA,LN10 6PZ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,152AB733-E9DD-E651-E063-4704A8C061D9,http://landregistry.data.gov.uk/data/ppi/transaction/152AB733-E9DD-E651-E063-4704A8C061D9/current
2024-03-08,620000,"29, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2859C1AC-1A10-52B4-E063-4804A8C05948,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-1A10-52B4-E063-4804A8C05948/current
2024-03-28,580000,"2, VICTORIA AVENUE, WOODHALL SPA, WOODHALL SPA, LN10 6TY",VICTORIA AVENUE,,WOODHALL SPA,LN10 6TY,LN10,A,Semi-detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2131FCF6-2B92-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-2B92-86E8-E063-4804A8C0372B/current
2024-05-22,570000,"1, JUNIPER COURT, WOODHALL SPA, WOODHALL SPA, LN10 6WE",JUNIPER COURT,,WOODHALL SPA,LN10 6WE,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,1C3E72FE-4ECE-F410-E063-4804A8C0DFA6,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-4ECE-F410-E063-4804A8C0DFA6/current
2024-08-08,580000,"29, GROVE DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6RT",GROVE DRIVE,,WOODHALL SPA,LN10 6RT,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2131FCF6-2ED6-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-2ED6-86E8-E063-4804A8C0372B/current
2024-09-18,600000,"5, ARNHEM WAY, WOODHALL SPA, WOODHALL SPA, LN10 6TJ",ARNHEM WAY,,WOODHALL SPA,LN10 6TJ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,38EDC0C3-0BDE-0F63-E063-4704A8C00424,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-0BDE-0F63-E063-4704A8C00424/current
2024-10-10,860000,"6, PETWOOD OAKS, WOODHALL SPA, WOODHALL SPA, LN10 6AH",PETWOOD OAKS,,WOODHALL SPA,LN10 6AH,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,25E9DA81-03A0-555E-E063-4704A8C066F2,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-03A0-555E-E063-4704A8C066F2/current
2024-10-15,595000,"THE CEDARS, THE BROADWAY, WOODHALL SPA, WOODHALL SPA, LN10 6SQ",THE BROADWAY,,WOODHALL SPA,LN10 6SQ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,402A3A66-0C0E-A7DF-E063-4804A8C0B80D,http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-0C0E-A7DF-E063-4804A8C0B80D/current
2024-10-31,650000,"16, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UZ",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UZ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2859C1AC-194F-52B4-E063-4804A8C05948,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-194F-52B4-E063-4804A8C05948/current
2024-11-18,602500,"21, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,31C68072-3E2A-FEE3-E063-4804A8C04F37,http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-3E2A-FEE3-E063-4804A8C04F37/current
2025-01-09,600000,"24, GROVE DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6RT",GROVE DRIVE,,WOODHALL SPA,LN10 6RT,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,38EDC0C3-0E75-0F63-E063-4704A8C00424,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-0E75-0F63-E063-4704A8C00424/current
2025-02-03,725000,"RINGWOOD HOUSE, 2, ST ANDREWS DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6PR",ST ANDREWS DRIVE,,WOODHALL SPA,LN10 6PR,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,2F7F2B43-2614-E08F-E063-4804A8C05A49,http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-2614-E08F-E063-4804A8C05A49/current
2025-03-04,750000,"THE OLD SPA BATHS, CORONATION ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6QD",CORONATION ROAD,,WOODHALL SPA,LN10 6QD,LN10,B,Other,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value; non_residential_type_O,3B5CE842-9739-EE3A-E063-4804A8C0D6F1,http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-9739-EE3A-E063-4804A8C0D6F1/current
2025-03-04,600000,"CROSSWAYS COTTAGE, SANDY LANE, WOODHALL SPA, WOODHALL SPA, LN10 6UR",SANDY LANE,,WOODHALL SPA,LN10 6UR,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,31C68072-3C66-FEE3-E063-4804A8C04F37,http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-3C66-FEE3-E063-4804A8C04F37/current
2025-03-07,600000,"1, STATION ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6QL",STATION ROAD,,WOODHALL SPA,LN10 6QL,LN10,B,Semi-detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value,49E87C32-DB71-591C-E063-4704A8C00C31,http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-DB71-591C-E063-4704A8C00C31/current
2025-03-07,1075000,"22, ARNHEM WAY, WOODHALL SPA, WOODHALL SPA, LN10 6TJ",ARNHEM WAY,,WOODHALL SPA,LN10 6TJ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,31C68072-3E1A-FEE3-E063-4804A8C04F37,http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-3E1A-FEE3-E063-4804A8C04F37/current
2025-05-30,610000,"2, GROVE DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6RT",GROVE DRIVE,,WOODHALL SPA,LN10 6RT,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,3B5CE841-E88C-EE3A-E063-4804A8C0D6F1,http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE841-E88C-EE3A-E063-4804A8C0D6F1/current
2025-07-11,680000,"17, TOR O MOOR ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6TF",TOR O MOOR ROAD,,WOODHALL SPA,LN10 6TF,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,3DCCB7CA-1677-5B9D-E063-4704A8C0331E,http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-1677-5B9D-E063-4704A8C0331E/current
2025-08-19,825000,"43, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UY",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UY,LN10,B,Other,no,freehold,EAST LINDSEY,woodhall_spa,yes,no,category_B_not_full_market_value; non_residential_type_O,49E87C32-DB4E-591C-E063-4704A8C00C31,http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-DB4E-591C-E063-4704A8C00C31/current
2025-09-24,560000,"1, HUNSTON ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6PE",HUNSTON ROAD,,WOODHALL SPA,LN10 6PE,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,402A3A66-0788-A7DF-E063-4804A8C0B80D,http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-0788-A7DF-E063-4804A8C0B80D/current
2025-10-31,570000,"20, GROVE DRIVE, WOODHALL SPA, WOODHALL SPA, LN10 6RT",GROVE DRIVE,,WOODHALL SPA,LN10 6RT,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,49E87C32-19A6-591C-E063-4704A8C00C31,http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-19A6-591C-E063-4704A8C00C31/current
2026-01-08,595000,"127, WITHAM ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6RB",WITHAM ROAD,,WOODHALL SPA,LN10 6RB,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,49E87C32-188A-591C-E063-4704A8C00C31,http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-188A-591C-E063-4704A8C00C31/current
2026-03-12,575000,"4, OAK CLOSE, WOODHALL SPA, WOODHALL SPA, LN10 6YE",OAK CLOSE,,WOODHALL SPA,LN10 6YE,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,50D10B84-249F-B8D0-E063-4704A8C08D98,http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-249F-B8D0-E063-4704A8C08D98/current
2026-05-08,772500,"62A, HORNCASTLE ROAD, WOODHALL SPA, WOODHALL SPA, LN10 6UZ",HORNCASTLE ROAD,,WOODHALL SPA,LN10 6UZ,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,5340B1C5-89F1-8052-E063-4804A8C06EE4,http://landregistry.data.gov.uk/data/ppi/transaction/5340B1C5-89F1-8052-E063-4804A8C06EE4/current
2026-05-15,560000,"6, LANSDOWN WAY, WOODHALL SPA, WOODHALL SPA, LN10 6BD",LANSDOWN WAY,,WOODHALL SPA,LN10 6BD,LN10,A,Detached,no,freehold,EAST LINDSEY,woodhall_spa,yes,yes,,5340B1C5-88F4-8052-E063-4804A8C06EE4,http://landregistry.data.gov.uk/data/ppi/transaction/5340B1C5-88F4-8052-E063-4804A8C06EE4/current
2020-10-30,1636249,"54, WHEATSHEAF DRIVE, WRAGBY, MARKET RASEN, LN8 5AH",WHEATSHEAF DRIVE,WRAGBY,WRAGBY,LN8 5AH,LN8,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O,0E082197-72FA-5C09-E063-4704A8C0A10E,http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-72FA-5C09-E063-4704A8C0A10E/current
2020-11-17,600000,"THE WRAGBY SURGERY, LOUTH ROAD, WRAGBY, MARKET RASEN",LOUTH ROAD,WRAGBY,WRAGBY,,,B,Other,no,freehold,EAST LINDSEY,wolds_west,yes,no,category_B_not_full_market_value; non_residential_type_O,BEF7EBBF-A4D7-7A76-E053-6B04A8C092F7,http://landregistry.data.gov.uk/data/ppi/transaction/BEF7EBBF-A4D7-7A76-E053-6B04A8C092F7/current
2023-04-13,1050000,"BADGERMOOR, PRIMROSE HILL, BARDNEY ROAD, WRAGBY, MARKET RASEN, LN8 5JE",BARDNEY ROAD,WRAGBY,WRAGBY,LN8 5JE,LN8,A,Detached,no,freehold,EAST LINDSEY,wolds_west,yes,yes,,1061746E-215C-3C34-E063-4804A8C0F9E7,http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-215C-3C34-E063-4804A8C0F9E7/current
2013-09-27,737500,"WYHAM GRANGE, WYHAM, GRIMSBY, DN36 5RS",,WYHAM,WYHAM,DN36 5RS,DN36,A,Detached,no,freehold,EAST LINDSEY,north_marsh_out,no,yes,,E93C0716-BF8E-4DBE-8767-576000D30EEA,http://landregistry.data.gov.uk/data/ppi/transaction/E93C0716-BF8E-4DBE-8767-576000D30EEA/current
2019-10-04,1653331,"LITTLE BECK FARM, YARBURGH, LOUTH, LN11 0NU",,YARBURGH,YARBURGH,LN11 0NU,LN11,B,Other,no,freehold,EAST LINDSEY,louth_wolds,yes,no,category_B_not_full_market_value; non_residential_type_O,965B6D92-4BB2-95E4-E053-6C04A8C07729,http://landregistry.data.gov.uk/data/ppi/transaction/965B6D92-4BB2-95E4-E053-6C04A8C07729/current
2026-03-13,566000,"WESTFIELD HOUSE, YARBURGH, LOUTH, LN11 0PW",,YARBURGH,YARBURGH,LN11 0PW,LN11,A,Detached,no,freehold,EAST LINDSEY,louth_wolds,yes,yes,,50D10B84-2802-B8D0-E063-4704A8C08D98,http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-2802-B8D0-E063-4704A8C08D98/current
2015-04-10,699995,"THE OLD VICARAGE, OLD VICARAGE GARDENS, AB KETTLEBY, MELTON MOWBRAY, LE14 3JA",OLD VICARAGE GARDENS,AB KETTLEBY,AB KETTLEBY,LE14 3JA,LE14,A,Detached,no,freehold,MELTON,belvoir_vale,yes,yes,,976C5A23-9C07-4E8C-A0EC-1BC30E7CA73B,http://landregistry.data.gov.uk/data/ppi/transaction/976C5A23-9C07-4E8C-A0EC-1BC30E7CA73B/current
2020-03-04,1944169,"THE DOVECOTE, NOTTINGHAM ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JB",NOTTINGHAM ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JB,LE14,B,Other,no,freehold,MELTON,belvoir_vale,yes,no,category_B_not_full_market_value; non_residential_type_O,A96E4ACC-DF9C-9205-E053-6C04A8C0DA09,http://landregistry.data.gov.uk/data/ppi/transaction/A96E4ACC-DF9C-9205-E053-6C04A8C0DA09/current
2020-03-04,600000,"WHITE LODGE FARM, NOTTINGHAM ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JB",NOTTINGHAM ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JB,LE14,B,Other,no,freehold,MELTON,belvoir_vale,yes,no,category_B_not_full_market_value; non_residential_type_O; portfolio_same_price_same_date,A96E4ACC-DF7E-9205-E053-6C04A8C0DA09,http://landregistry.data.gov.uk/data/ppi/transaction/A96E4ACC-DF7E-9205-E053-6C04A8C0DA09/current
2020-03-04,600000,"WHITE LODGE FARM COTTAGE, NOTTINGHAM ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JB",NOTTINGHAM ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JB,LE14,B,Other,no,freehold,MELTON,belvoir_vale,yes,no,category_B_not_full_market_value; non_residential_type_O; portfolio_same_price_same_date,A96E4ACC-DFDB-9205-E053-6C04A8C0DA09,http://landregistry.data.gov.uk/data/ppi/transaction/A96E4ACC-DFDB-9205-E053-6C04A8C0DA09/current
2020-10-02,1496340,"WELBY LODGE, WARTNABY ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JJ",WARTNABY ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JJ,LE14,B,Other,no,freehold,MELTON,belvoir_vale,yes,no,category_B_not_full_market_value; non_residential_type_O,C3C3F9B6-B031-362B-E053-6B04A8C03ACC,http://landregistry.data.gov.uk/data/ppi/transaction/C3C3F9B6-B031-362B-E053-6B04A8C03ACC/current
2022-10-25,900000,"43, WARTNABY ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JJ",WARTNABY ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JJ,LE14,A,Detached,no,freehold,MELTON,belvoir_vale,yes,yes,,EED73E75-CBFD-6AF3-E053-6C04A8C08ABA,http://landregistry.data.gov.uk/data/ppi/transaction/EED73E75-CBFD-6AF3-E053-6C04A8C08ABA/current
2023-02-10,685000,"48, WARTNABY ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JJ",WARTNABY ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JJ,LE14,A,Detached,no,freehold,MELTON,belvoir_vale,yes,yes,,F5E8B081-7724-3A13-E053-6C04A8C060B7,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B081-7724-3A13-E053-6C04A8C060B7/current
2023-07-31,1010000,"THE OLD VICARAGE, MELTON ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JA",MELTON ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JA,LE14,A,Detached,no,freehold,MELTON,belvoir_vale,yes,yes,,045A1898-C11F-9A24-E063-4804A8C048EA,http://landregistry.data.gov.uk/data/ppi/transaction/045A1898-C11F-9A24-E063-4804A8C048EA/current
2025-05-22,700000,"46, WARTNABY ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JJ",WARTNABY ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JJ,LE14,A,Detached,no,freehold,MELTON,belvoir_vale,yes,yes,,36A61A94-B8A9-DEF2-E063-4704A8C046AE,http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-B8A9-DEF2-E063-4704A8C046AE/current
2026-05-15,600000,"41, WARTNABY ROAD, AB KETTLEBY, MELTON MOWBRAY, LE14 3JJ",WARTNABY ROAD,AB KETTLEBY,AB KETTLEBY,LE14 3JJ,LE14,A,Detached,no,freehold,MELTON,belvoir_vale,yes,yes,,5340B1C5-8E2F-8052-E063-4804A8C06EE4,http://landregistry.data.gov.uk/data/ppi/transaction/5340B1C5-8E2F-8052-E063-4804A8C06EE4/current
2019-09-13,718271,"REGENCY LODGE, 8A, REGENCY ROAD, ASFORDBY, MELTON MOWBRAY, LE14 3YN",REGENCY ROAD,ASFORDBY,ASFORDBY,LE14 3YN,LE14,B,Detached,no,freehold,MELTON,wreake_valley_out,no,no,category_B_not_full_market_value,98C75472-B850-72E9-E053-6B04A8C042F0,http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-B850-72E9-E053-6B04A8C042F0/current
2024-08-29,625000,"THE HORSESHOE, 128, MAIN STREET, ASFORDBY, MELTON MOWBRAY, LE14 3SA",MAIN STREET,ASFORDBY,ASFORDBY,LE14 3SA,LE14,B,Other,no,freehold,MELTON,wreake_valley_out,no,no,category_B_not_full_market_value; non_residential_type_O,42C129E5-8A13-60A9-E063-4804A8C0C25D,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E5-8A13-60A9-E063-4804A8C0C25D/current
2024-11-15,595000,"6, STATION LANE, ASFORDBY, MELTON MOWBRAY, LE14 3SL",STATION LANE,ASFORDBY,ASFORDBY,LE14 3SL,LE14,A,Detached,no,freehold,MELTON,wreake_valley_out,no,yes,,2ACACE8C-FD5A-295E-E063-4804A8C0B0EB,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-FD5A-295E-E063-4804A8C0B0EB/current
2024-12-06,640000,"AMBERLEY, 4, CHURCH LANE, ASFORDBY, MELTON MOWBRAY, LE14 3RU",CHURCH LANE,ASFORDBY,ASFORDBY,LE14 3RU,LE14,A,Detached,no,freehold,MELTON,wreake_valley_out,no,yes,,42C129E4-C8CD-60A9-E063-4804A8C0C25D,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-C8CD-60A9-E063-4804A8C0C25D/current
2026-02-20,600000,"KINGFISHER VIEW, PUMP LANE, ASFORDBY, MELTON MOWBRAY, LE14 3SH",PUMP LANE,ASFORDBY,ASFORDBY,LE14 3SH,LE14,A,Detached,no,freehold,MELTON,wreake_valley_out,no,yes,,4E75C29D-6136-8922-E063-4804A8C094D0,http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6136-8922-E063-4804A8C094D0/current
2026-03-04,550000,"6, ALL SAINTS CLOSE, ASFORDBY, MELTON MOWBRAY, LE14 3TF",ALL SAINTS CLOSE,ASFORDBY,ASFORDBY,LE14 3TF,LE14,A,Detached,no,freehold,MELTON,wreake_valley_out,no,yes,,4E75C29D-6021-8922-E063-4804A8C094D0,http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6021-8922-E063-4804A8C094D0/current
2015-07-29,575000,"B E FURNITURE LTD, WELBY ROAD, ASFORDBY HILL, MELTON MOWBRAY, LE14 3RD",WELBY ROAD,ASFORDBY HILL,ASFORDBY HILL,LE14 3RD,LE14,B,Other,no,freehold,MELTON,wreake_valley_out,no,no,category_B_not_full_market_value; non_residential_type_O,21E5FEB7-4B8E-2439-E050-A8C06205342E,http://landregistry.data.gov.uk/data/ppi/transaction/21E5FEB7-4B8E-2439-E050-A8C06205342E/current
2021-12-13,807000,"SYSONBY GRANGE HOUSE, MELTON ROAD, ASFORDBY HILL, MELTON MOWBRAY, LE14 3QU",MELTON ROAD,ASFORDBY HILL,ASFORDBY HILL,LE14 3QU,LE14,A,Detached,no,freehold,MELTON,wreake_valley_out,no,yes,,1775CCF7-5511-38BA-E063-4704A8C05A7C,http://landregistry.data.gov.uk/data/ppi/transaction/1775CCF7-5511-38BA-E063-4704A8C05A7C/current
2013-02-28,910000,"ASHBY PASTURES, PASTURE LANE, ASHBY FOLVILLE, MELTON MOWBRAY, LE14 2TT",PASTURE LANE,ASHBY FOLVILLE,ASHBY FOLVILLE,LE14 2TT,LE14,A,Detached,no,freehold,MELTON,high_leicestershire,yes,yes,,7514AF9A-5232-4EC5-BCD8-C085823FA4C4,http://landregistry.data.gov.uk/data/ppi/transaction/7514AF9A-5232-4EC5-BCD8-C085823FA4C4/current
