date,price,address,street,locality,settlement,postcode,postcode_district,category,property_type,new_build,tenure,district,settlement_zone,in_search_geography,residential_comparable,exclusion_reason,txn_id,url
2023-02-24,550000,"120, RUTLAND ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 5DR",RUTLAND ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5DR,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,no,portfolio_same_price_same_date,F87E72F9-453D-176C-E053-6B04A8C0D2BE,http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F9-453D-176C-E053-6B04A8C0D2BE/current
2023-02-28,680000,"5, GLENMORE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6GH",GLENMORE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6GH,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,01EB45F0-0AB0-40F3-E063-4704A8C05FDE,http://landregistry.data.gov.uk/data/ppi/transaction/01EB45F0-0AB0-40F3-E063-4704A8C05FDE/current
2023-03-08,1350000,"2, DOVEDALE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6JA",DOVEDALE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6JA,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,F87E72F9-4963-176C-E053-6B04A8C0D2BE,http://landregistry.data.gov.uk/data/ppi/transaction/F87E72F9-4963-176C-E053-6B04A8C0D2BE/current
2023-03-08,650000,"1, WORDSWORTH ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7AN",WORDSWORTH ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7AN,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,06C9F487-A206-9388-E063-4804A8C0BD98,http://landregistry.data.gov.uk/data/ppi/transaction/06C9F487-A206-9388-E063-4804A8C0BD98/current
2023-03-08,590000,"29, WALCOTE DRIVE, WEST BRIDGFORD, NOTTINGHAM, NG2 7JQ",WALCOTE DRIVE,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7JQ,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FAC30767-5D74-5E20-E053-4704A8C004EE,http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-5D74-5E20-E053-4704A8C004EE/current
2023-03-20,550000,"3, TREVELYAN ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 5GY",TREVELYAN ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5GY,NG2,B,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,no,category_B_not_full_market_value,FAC30767-DC5F-5E20-E053-4704A8C004EE,http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-DC5F-5E20-E053-4704A8C004EE/current
2023-03-21,595000,"44, HENRY ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7NB",HENRY ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7NB,NG2,B,Semi-detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,no,category_B_not_full_market_value,045A1899-6326-9A24-E063-4804A8C048EA,http://landregistry.data.gov.uk/data/ppi/transaction/045A1899-6326-9A24-E063-4804A8C048EA/current
2023-03-28,800000,"12, ELLESMERE ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 7DE",ELLESMERE ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 7DE,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FAC30767-5D4A-5E20-E053-4704A8C004EE,http://landregistry.data.gov.uk/data/ppi/transaction/FAC30767-5D4A-5E20-E053-4704A8C004EE/current
2023-03-30,562500,"105, JULIAN ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 5AL",JULIAN ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 5AL,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,FD226036-1BBE-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-1BBE-4CB7-E053-4804A8C00430/current
2023-03-31,725000,"29, STAMFORD ROAD, WEST BRIDGFORD, NOTTINGHAM, NG2 6GD",STAMFORD ROAD,WEST BRIDGFORD,WEST BRIDGFORD,NG2 6GD,NG2,A,Detached,no,freehold,RUSHCLIFFE,nottingham_urban,no,yes,,01EB45F0-0AE1-40F3-E063-4704A8C05FDE,http://landregistry.data.gov.uk/data/ppi/transaction/01EB45F0-0AE1-40F3-E063-4704A8C05FDE/current
